kotowaza,yomigana,romaji
七転び八起き,ななころびやおき,nanakorobiyaoki
ぶたに真珠,ぶたにしんじゅ,butanishinju
のれんに腕押し,のれんにうでおし,norenniudeoshi
情けは人のためならず,なさけはひとのためならず,nasakehahitonotamenarazu
のどもと過ぎれば熱さを忘れる,のどもとすぎればあつさわすれる,nodomotosugirebaatsusawasureru
早起きは三文の徳,はやおきはさんもんのとく,hayaokihasanmonnotoku
ない袖は振れぬ,ないそではふれぬ,naisodehafurenu
ぬれ手に粟,ぬれてにあわ,nureteniawa
人のうわさも七十五日,ひとのうわさもしちじゅうごにち,hitonouwasamoshichijuugonichi
念には念を入れよ,ねんにはねんをいれよ,nennihanenwoireyo
火のない所に煙は立たぬ,ひのないところにけむりはたたぬ,hinonaitokoronikemurihatatanu
ひょうたんから駒が出る,ひょうたんからこまがでる,hyoutankarakomagaderu
百聞は一見にしかず,ひゃくぶんはいっけんにしかず,hyakubunhaikkennishikazu
花より団子,はなよりだんご,hanayoridango
人のふり見て我がふり直せ,ひとのふりみてわがふりなおせ,hitonofurimitewagafurinaose
骨折り損のくたびれもうけ,ほねおりぞんのくたびれもうけ,honeorizonnokutabiremouke
桃栗三年柿八年,ももくりさんねんかきはちねん,momokurisannenkakihachinen
柳の下のどじょう,やなぎのしたのどじょう,yanaginoshitanodojou
仏の顔も三度まで,ほとけのかおもさんどまで,hotokenokaomosandomade
安物買いの銭失い,やすものがいのぜにうしない,yasumonogainozeniushinai
弱り目にたたり目,よわりめにたたりめ,yowarimenitatarime
楽あれば苦あり,らくあればくあり,rakuarebakuari
論より証拠,ろんよりしょうこ,ronyorishouko
待てば海路の日和あり,まてばかいろのひよりあり,matebakaironohiyoriari
渡る世間に鬼はなし,わたるせけんにおにはなし,watarusekennionihanashi
渡りに船,わたりにふね,watarinifune
良薬は口に苦し,りょうやくはくちににがし,ryouyakuhakuchininigashi
